qid,label,hallucination_score_manual,correctness_score_manual,semantic_similarity_manual,explanation,model,hallucination_score_auto,correctness_score_auto,completeness,relevance,regulatory_consistency,semantic_similarity_auto,category,manual_correct,auto_correct
46,correct,0,1,1,Correctly explains that exceeding 90 unemployment days ends F-1 status.,VisaMate,0.255092192,0.744907808,0.733026025,0.583054808,0.3,0.733026025,Job Loss,1,1
47,partially_correct,0.3,0.7,0.6,"Correct that unauthorized gig work is not allowed, but incorrectly states no gig work is ever allowed, ignoring the allowed case when work is related to the major and authorized under OPT.",VisaMate,0.434566729,0.565433271,0.7181275,0.45094564,0.3,0.7181275,Job Loss,0,0
48,correct,0,1,1,Accurately reflects unemployment limits and required actions.,VisaMate,0.850312556,0.149687444,0.498958147,0.40659343,0.3,0.498958147,Job Loss,1,0
49,correct,0,1,1,Matches gold answer exactly.,VisaMate,0.176667186,0.823332814,0.799989975,0.775762817,0.2,0.799989975,Job Loss,1,1
50,partially_correct,0.3,0.7,0.7,"Correct that you can change status via I-539, but adds unnecessary risk statements not in gold.",VisaMate,0.453101199,0.546898801,0.656330754,0.718774814,0.2,0.656330754,Job Loss,0,0
51,partially_correct,0.2,0.8,0.8,"Mostly correct but omits that reentry requires proof of employment; suggests job letter only, not employment evidence.",VisaMate,0.472306994,0.527693006,0.786754463,0.781073477,0.2,0.786754463,Travel,0,0
52,correct,0,1,1,Fully matches the gold requirements.,VisaMate,0.117253523,0.882746477,0.920266035,0.772812486,0.3,0.920266035,Travel,1,1
53,partially_correct,0.2,0.8,0.7,Correct on needing a valid visa; adds full-time enrollment requirement which is irrelevant during OPT.,VisaMate,0.323021397,0.676978603,0.700977576,0.715473855,0.2,0.700977576,Travel,0,0
54,partially_correct,0.3,0.7,0.7,Correct that travel is risky but incorrectly states you should not travel until EAD is approved; gold says travel is allowed but risky.,VisaMate,0.289398939,0.710601061,0.813114646,0.785459478,0.3,0.813114646,Travel,0,1
55,correct,0,1,1,Fully aligned with the gold answer.,VisaMate,0.043444008,0.956555992,0.855186639,0.768069817,0.2,0.855186639,Travel,1,1
56,correct,0,1,1,Correctly states DSO signs I-20 and includes six-month validity for OPT travel signatures.,VisaMate,0.266983291,0.733016709,0.758183617,0.779196188,0.3,0.758183617,Travel,1,1
57,correct,0,1,1,Accurately states that reentry is not allowed during grace period.,VisaMate,0.297853691,0.702146309,0.78493214,0.621605207,0.1,0.78493214,Travel,1,1
58,partially_correct,0.4,0.6,0.5,"Correct that denial has serious consequences but introduces unlawful presence and removal, which is not in the gold answer.",VisaMate,0.800267552,0.199732448,0.665774827,0.676719613,0.3,0.665774827,Travel,0,0
59,partially_correct,0.2,0.8,0.8,Correct that carrying job letter is advisable; adds CPT context unnecessary but not harmful.,VisaMate,0.414860794,0.585139206,0.783797354,0.675870978,0.3,0.783797354,Travel,0,0
60,correct,0,1,1,Matches gold answer fully—multiple travels allowed with proper documents.,VisaMate,0.080631616,0.919368384,0.731227945,0.629619792,0.3,0.731227945,Travel,1,1
61,partially_correct,0.3,0.7,0.7,"Correct filing window, but adds fabricated statement about FY 2026 cap already being reached.",VisaMate,0.041316165,0.958683835,0.862279451,0.751275546,0.1,0.862279451,H-1B Transition,0,1
62,incorrect,0.7,0.3,0.2,Gold describes cap-gap; model incorrectly mentions 180-day STEM-pending extension which is unrelated to H-1B transition.,VisaMate,0.395739917,0.604260083,0.847533611,0.822285933,0.3,0.847533611,H-1B Transition,0,0
63,correct,0,1,1,Accurately describes cap-gap eligibility and purpose.,VisaMate,0.217845531,0.782154469,0.857181562,0.691248655,0.2,0.857181562,H-1B Transition,1,1
64,correct,0,1,0.9,Correctly states cap-gap covers staying in the U.S.; slight extra info but not contradictory.,VisaMate,0.303725532,0.696274468,0.570914894,0.608546646,0.2,0.570914894,H-1B Transition,1,0
65,partially_correct,0.3,0.7,0.7,"Correct that transfer requires a new filing, but incorrectly claims you must wait to start work—AC21 allows portability after filing.",VisaMate,0.441789173,0.558210827,0.69403609,0.798894651,0,0.69403609,H-1B Transition,0,0
66,correct,0,1,0.9,Fully consistent with gold; explains consequences accurately.,VisaMate,0.656685295,0.343314705,0.755493462,0.642942915,0.3,0.755493462,H-1B Transition,1,0
67,partially_correct,0.2,0.8,0.7,Correct timeframe but doesn’t state that cap-gap ends immediately if petition is rejected.,VisaMate,0.413639159,0.586360841,0.787870318,0.744960458,0.1,0.787870318,H-1B Transition,0,0
68,correct,0,1,1,Correctly states travel abandons change-of-status request.,VisaMate,0.072883867,0.927116133,0.757071918,0.735679356,0.2,0.757071918,H-1B Transition,1,1
69,correct,0,1,1,Accurately describes optional nature of premium processing.,VisaMate,0.057994658,0.942005342,0.806684474,0.710316883,0.2,0.806684474,H-1B Transition,1,1
70,correct,0,1,1,Matches gold requirements.,VisaMate,0.163534226,0.836465774,0.843774802,0.76860381,0,0.843774802,H-1B Transition,1,1
71,correct,0,1,1,Correctly states remote CPT is allowed if requirements are met.,VisaMate,0.429201905,0.570798095,0.735993648,0.698604849,0.2,0.735993648,Remote Work,1,0
72,correct,0,1,1,Matches gold—no requirement for same state.,VisaMate,0.260290131,0.739709869,0.715699563,0.569248085,0.4,0.715699563,Remote Work,1,1
73,correct,0,1,1,Remote OPT is allowed if job meets requirements.,VisaMate,0.052193954,0.947806046,0.826020154,0.780008682,0.3,0.826020154,Remote Work,1,1
74,incorrect,0.6,0.4,0.4,Gold says students must report addresses to USCIS; model incorrectly says notifying DSO alone is sufficient.,VisaMate,0.333090163,0.666909837,0.667473171,0.644487139,0.2,0.667473171,Remote Work,0,0
75,incorrect,0.6,0.4,0.3,Gold says USCIS doesn't regulate remote work abroad; model incorrectly says physical presence in U.S. is required.,VisaMate,0.088630828,0.911369172,0.704563906,0.53848349,0.4,0.704563906,Remote Work,0,1
76,correct,0,1,1,Accurately states EAD can be mailed to any reliable address.,VisaMate,0.531595686,0.468404314,0.783569937,0.748154338,0.1,0.783569937,Remote Work,1,0
77,correct,0,1,1,Fully matches STEM OPT remote work rules.,VisaMate,0.298331687,0.701668313,0.783338822,0.82018859,0.4,0.783338822,Remote Work,1,1
78,correct,0,1,1,Matches DHS requirement for address reporting within 10 days.,VisaMate,0.262157879,0.737842121,0.709473735,0.709328611,0.1,0.709473735,Remote Work,1,1
79,correct,0,1,1,Aligned with gold; living in one state and working remotely in another is permitted.,VisaMate,0.419725125,0.580274875,0.767582917,0.607976436,0.2,0.767582917,Remote Work,1,0
80,incorrect,0.6,0.4,0.3,"Gold says remote work is fine if authorized; model claims remote work can terminate status unless specially authorized, which is false.",VisaMate,0.360459352,0.639540648,0.73179937,0.792134915,0.2,0.73179937,Remote Work,0,0
81,correct,0,1,1,Matches gold; multiple OPT employers allowed if related and reported.,VisaMate,0.429507288,0.570492712,0.734937894,0.825452867,0.3,0.734937894,Multiple Jobs,1,0
82,correct,0,1,1,Accurately states freelance self-employment is allowed if related and documented.,VisaMate,0.0531319,0.9468681,0.822893666,0.829569704,0.2,0.822893666,Multiple Jobs,1,1
83,incorrect,0.6,0.4,0.3,Gold says you MAY start a business if work is under OPT/CPT; model says not permitted.,VisaMate,0.039437852,0.960562148,0.868540495,0.67062578,0.4,0.868540495,Multiple Jobs,0,1
84,correct,0,1,1,Accurately states all employers must be reported in SEVIS.,VisaMate,0.243066591,0.756933409,0.773098404,0.669570996,0.4,0.773098404,Multiple Jobs,1,1
85,partially_correct,0.3,0.7,0.7,Correct STEM OPT conditions but incorrectly requires 20 hours for part-time contracting.,VisaMate,0.281515298,0.718484702,0.839380916,0.827727546,0.4,0.839380916,Multiple Jobs,0,1
86,correct,0,1,1,Correct that passive income is allowed.,VisaMate,0.124527179,0.875472821,0.584909402,0.453632918,0.2,0.584909402,Multiple Jobs,1,1
87,correct,0,1,1,Matches gold; co-founding allowed if work is OPT-authorized.,VisaMate,0.445822661,0.554177339,0.680591131,0.7566808,0.2,0.680591131,Multiple Jobs,1,0
88,partially_correct,0.4,0.6,0.5,Correct warning but ignores that volunteer work CAN count if meets labor rules.,VisaMate,0.791297471,0.208702529,0.695675098,0.710488754,0.2,0.695675098,Multiple Jobs,0,0
89,correct,0,1,1,Paid speaking is allowed if related; matches gold.,VisaMate,0.419461639,0.580538361,0.768461202,0.790500433,0.2,0.768461202,Multiple Jobs,1,0
90,partially_correct,0.2,0.8,0.8,Mostly correct but adds E-Verify requirement irrelevant unless STEM OPT.,VisaMate,0.316519667,0.683480333,0.722696676,0.70065777,0.4,0.722696676,Multiple Jobs,0,0
91,correct,0,1,1,Accurately reflects 60-day grace period rules.,VisaMate,0.282286388,0.717713612,0.836823151,0.819015698,0.2,0.836823151,Grace Period,1,1
92,correct,0,1,1,Correct that re-entry is not allowed during grace period.,VisaMate,0.231572622,0.768427378,0.811462667,0.708013573,0.1,0.811462667,Grace Period,1,1
93,correct,0,1,1,Matches gold; new program allowed during grace period.,VisaMate,0.043712283,0.956287717,0.85456307,0.81009005,0.2,0.85456307,Grace Period,1,1
94,partially_correct,0.3,0.7,0.6,Correct general rules but gold emphasizes grace period; model emphasizes unemployment limit.,VisaMate,0.610226997,0.389773003,0.715910012,0.726482875,0.3,0.715910012,Grace Period,0,0
95,correct,0,1,0.9,Accurate explanation of change of status to B-2.,VisaMate,0.046279342,0.953720658,0.845735527,0.746316533,0.2,0.845735527,Grace Period,1,1
96,correct,0,1,0.9,Matches gold; enrolling in new program extends status.,VisaMate,0.416150303,0.583849697,0.779490036,0.814085304,0.1,0.779490036,Grace Period,1,0
97,incorrect,0.6,0.4,0.3,Gold clarifies marriage has no immigration effect; model gives misleading claim grace period is not lawful status.,VisaMate,0.610374174,0.389625826,0.650544119,0.781994519,0.1,0.650544119,Grace Period,0,0
98,correct,0,1,1,Consistent with gold; personal belongings are not regulated.,VisaMate,0.833261364,0.166738636,0.555794026,0.750552777,0.1,0.555794026,Grace Period,1,0
99,incorrect,0.6,0.4,0.3,Gold says volunteering is allowed but doesn’t stop unemployment; model says all volunteer work is not allowed.,VisaMate,0.440137762,0.559862238,0.699540795,0.602211157,0.2,0.699540795,Grace Period,0,0
100,partially_correct,0.3,0.7,0.7,Correct form and process; adds warnings not in gold but not harmful.,VisaMate,0.18852933,0.81147067,0.760419705,0.785114433,0.2,0.760419705,Grace Period,0,1
101,partially_correct,0.3,0.7,0.7,Correct that DSO handles it; adds unlawful presence which gold does not mention.,VisaMate,0.506228953,0.493771047,0.868125714,0.810073005,0.3,0.868125714,Admin Issues,0,0
102,correct,0,1,1,Accurate: DSO issues corrected I-20.,VisaMate,0.125788827,0.874211173,0.839963169,0.750162345,0.2,0.839963169,Admin Issues,1,1
103,partially_correct,0.3,0.7,0.6,Correct that correction goes through USCIS but fails to distinguish between USCIS error vs student error.,VisaMate,0.07549898,0.92450102,0.748336735,0.702136843,0.2,0.748336735,Admin Issues,0,1
104,incorrect,0.6,0.4,0.4,Gold lists clear expedite criteria; model incorrectly claims expedited processing is generally unavailable.,VisaMate,0.061963568,0.938036432,0.793454774,0.810165986,0.2,0.793454774,Admin Issues,0,1
105,correct,0,1,1,Correct that student must request a new I-20 to re-enter.,VisaMate,0.197789832,0.802210168,0.859219078,0.784494508,0.2,0.859219078,Admin Issues,1,1
106,correct,0,1,1,Matches gold; new I-765 must be filed.,VisaMate,0.054201314,0.945798686,0.819288167,0.734386974,0.2,0.819288167,Admin Issues,1,1
107,correct,0,1,1,Consistent with gold on renewing passport.,VisaMate,0.036985413,0.963014587,0.876737482,0.731655028,0.1,0.876737482,Admin Issues,1,1
108,correct,0,1,1,Correct: no revalidation inside U.S.,VisaMate,0.062038954,0.937961046,0.793195584,0.746656864,0.3,0.793195584,Admin Issues,1,1
109,partially_correct,0.3,0.7,0.7,Correct on contacting USCIS; missing rule about USCIS replacing card for free if fault is theirs.,VisaMate,0.518319269,0.481680731,0.827824659,0.820726222,0.2,0.827824659,Admin Issues,0,0
110,correct,0,1,1,DSO handles SEVIS corrections; matches gold.,VisaMate,0.274195111,0.725804889,0.863794075,0.787323034,0.1,0.863794075,Admin Issues,1,1
111,partially_correct,0.3,0.7,0.7,Correct that CBP handles I-94 corrections but model directs student to USCIS resources unnecessarily.,VisaMate,0.062136173,0.937863827,0.792879422,0.792300352,0.4,0.792879422,Admin Issues,0,1
112,correct,0,1,1,Fully matches gold; no work allowed while replacement pending.,VisaMate,0.30837987,0.69162013,0.749844879,0.721851258,0.1,0.749844879,Admin Issues,1,0
113,correct,0,1,1,Accurately describes transfer to another SEVP-certified school.,VisaMate,0.046740959,0.953259041,0.844144667,0.742773498,0.4,0.844144667,Admin Issues,1,1
114,incorrect,0.6,0.4,0.4,Gold requires passport to be corrected first; model incorrectly starts with SEVIS correction.,VisaMate,0.08953032,0.91046968,0.701565601,0.615353813,0.3,0.701565601,Admin Issues,0,1
115,partially_correct,0.4,0.6,0.6,Correct that late OPT cannot be filed; model misstates 60-day window as OPT window.,VisaMate,0.445157407,0.554842593,0.682808643,0.720186466,0.2,0.682808643,Admin Issues,0,0
116,correct,0,1,1,Matches gold regarding general expedite criteria.,VisaMate,0.041293759,0.958706241,0.862382941,0.825301037,0.4,0.862382941,Admin Issues,1,1
117,correct,0,1,1,Fully consistent; no I-983 means no STEM OPT.,VisaMate,0.111195814,0.888804186,0.888606545,0.688199126,0.4,0.888606545,Admin Issues,1,1
118,correct,0,1,1,Accurately describes reinstatement requirements.,VisaMate,0.040015084,0.959984916,0.86665651,0.78888493,0.2,0.86665651,Admin Issues,1,1
119,correct,0,1,1,Matches gold: employer must follow I-9 rules and student must provide valid documents.,VisaMate,0.038198487,0.961801513,0.872692765,0.785147655,0.2,0.872692765,Admin Issues,1,1
120,incorrect,0.5,0.5,0.5,Gold says appeals ARE allowed via I-290B; model incorrectly says you cannot appeal.,VisaMate,0.062598534,0.937401466,0.791422674,0.781485955,0.3,0.791422674,Admin Issues,0,1
121,correct,0,1,0.95,Correctly explains that failing a class only affects status if it drops you below full-time enrollment.,VisaMate,0.163222072,0.836777928,0.844815314,0.791964052,0.2,0.844815314,Academic Issues,1,1
122,correct,0,1,1,Matches USCIS medical RCL rules including documentation and 12-month maximum.,VisaMate,0.266284852,0.733715148,0.695717159,0.693236465,0.2,0.695717159,Academic Issues,1,1
123,correct,0,1,1,Correctly describes DSO updating SEVIS after major change.,VisaMate,0.677090915,0.322909085,0.687455995,0.778237381,0.1,0.687455995,Academic Issues,1,0
124,correct,0,1,1,Accurately states part-time enrollment requires DSO-authorized RCL.,VisaMate,0.427169412,0.572830588,0.742218804,0.637108307,0.1,0.742218804,Academic Issues,1,0
125,correct,0,1,1,Matches USCIS rules for program extension based on academic or medical reasons.,VisaMate,0.30700779,0.69299221,0.754467629,0.65575083,0.2,0.754467629,Academic Issues,1,0
126,correct,0,1,1,Accurately states only one online class per term counts toward full-time enrollment.,VisaMate,0.059407009,0.940592991,0.801957028,0.719354185,0.2,0.801957028,Academic Issues,1,1
127,correct,0,1,1,Correctly states academic probation doesn't violate status if full-time enrollment is maintained.,VisaMate,0.227440752,0.772559248,0.825197492,0.654523513,0.1,0.825197492,Academic Issues,1,1
128,incorrect,0.5,0.5,0.4,Model incorrectly says transferring while suspended is not permitted; gold allows transfer before falling out of status.,VisaMate,0.242738267,0.757261733,0.774161966,0.757071113,0.2,0.774161966,Academic Issues,0,1
129,correct,0,1,1,Correctly describes DSO shortening I-20 after early graduation.,VisaMate,0.145601533,0.854398467,0.774191247,0.696357152,0.3,0.774191247,Academic Issues,1,1
130,correct,0,1,0.95,Correctly states gap years are not allowed and student must depart and return with new I-20.,VisaMate,0.539882203,0.460117797,0.755991392,0.819328551,0.1,0.755991392,Academic Issues,1,0
131,correct,0,1,0.95,Matches gold: delays in defense allow academic program extension before I-20 end date.,VisaMate,0.166562201,0.833437799,0.833985586,0.802911752,0.2,0.833985586,Academic Issues,1,1
132,correct,0,1,1,Correct: audited courses don't count toward full-time enrollment.,VisaMate,0.225204589,0.774795411,0.83265137,0.769470144,0.1,0.83265137,Academic Issues,1,1
133,correct,0,1,1,Matches gold: withdrawing from all classes without RCL violates status.,VisaMate,0.41630231,0.58369769,0.77901638,0.65345086,0.1,0.77901638,Academic Issues,1,0
134,correct,0,1,1,Accurately describes SEVP rule allowing part-time enrollment in final term.,VisaMate,0.809952505,0.190047495,0.633442403,0.580417513,0.1,0.633442403,Academic Issues,1,0
135,correct,0,1,0.95,Correctly states retaking classes is allowed if full-time enrollment is maintained.,VisaMate,0.809721549,0.190278451,0.634231879,0.601286279,0.4,0.634231879,Academic Issues,1,0
136,partially_correct,0.3,0.7,0.7,"Correct that summer classes at another school are allowed, but incorrectly implies full-time enrollment is required in summer.",VisaMate,0.820122424,0.179877576,0.599638671,0.673685115,0.1,0.599638671,Academic Issues,0,0
137,correct,0,1,1,Matches gold: discontinued programs require transfer or departure.,VisaMate,0.059663744,0.940336256,0.801120852,0.459517423,0.3,0.801120852,Academic Issues,1,1
138,correct,0,1,1,Correct: research-only enrollment allowed if considered full-time by school.,VisaMate,0.2413463,0.7586537,0.778842232,0.780721895,0.1,0.778842232,Academic Issues,1,1
139,correct,0,1,0.95,Accurately states failing defense may require extension with continued full-time enrollment.,VisaMate,0.798330583,0.201669417,0.672231392,0.611009577,0.1,0.672231392,Academic Issues,1,0
140,correct,0,1,1,Fully aligns with gold: DSO updates SEVIS when switching from PhD to Master’s.,VisaMate,0.182174074,0.817825926,0.781641977,0.638518602,0.4,0.781641977,Academic Issues,1,1
141,correct,0,1,1,Correct: F-2 spouses are never permitted to work.,VisaMate,0.052965586,0.947034414,0.823517247,0.773688071,0.2,0.823517247,Dependents (F-2),1,1
142,partially_correct,0.2,0.8,0.8,Mostly correct but misses nuance about infants born in the U.S. automatically receiving status without consular processing.,VisaMate,0.044125413,0.955874587,0.85291529,0.755423392,0.3,0.85291529,Dependents (F-2),0,1
143,correct,0,1,1,Correct: F-2 spouses may study part-time only; full-time requires change to F-1.,VisaMate,0.157780882,0.842219118,0.862948796,0.851724622,0.2,0.862948796,Dependents (F-2),1,1
144,correct,0,1,1,Matches gold: dependents must change to H-4 when F-1 changes status.,VisaMate,0.3426495,0.6573505,0.830055172,0.769179208,0.2,0.830055172,Dependents (F-2),1,0
145,correct,0,1,1,Correct: marriage alone doesn't grant status; spouse must get F-2 via I-20 and consular processing.,VisaMate,0.084063454,0.915936546,0.719788485,0.806828359,0.3,0.719788485,Dependents (F-2),1,1
146,correct,0,1,1,Correct: two F-1s maintain independent SEVIS records and requirements.,VisaMate,0.254614503,0.745385497,0.734618322,0.772395629,0.3,0.734618322,Dependents (F-2),1,1
147,correct,0,1,1,Accurately states F-2 children may attend K–12 public school freely.,VisaMate,0.404129162,0.595870838,0.819590879,0.783963594,0,0.819590879,Dependents (F-2),1,0
148,correct,0,1,0.95,"Accurately describes F-2 duration tied to F-1, including grace period.",VisaMate,0.083884093,0.916115907,0.720386356,0.831368015,0.4,0.720386356,Dependents (F-2),1,1
149,correct,0,1,1,Correct: B-2 visas allowed for parents visiting F-1 students.,VisaMate,0.233135957,0.766864043,0.806237394,0.783985437,0,0.806237394,Dependents (F-2),1,1
150,correct,0,1,1,Correct: F-2 status ends when F-1 loses status.,VisaMate,0.17531514,0.82468486,0.804505088,0.822433331,0.3,0.804505088,Dependents (F-2),1,1
